gender,school,grade,parent_edu,ave_short_video_usage/day,exam_score
0,0,1,5,3,279.0
0,0,2,3,2,209.0
0,0,2,4,1,190.0
0,0,3,3,2,259.5
1,0,4,2,2,191.0
1,0,3,4,3,263.5
1,0,4,4,3,283.5
0,0,1,4,3,195.0
0,0,2,6,3,282.0
1,0,1,1,3,231.0
0,0,2,5,2,293.5
1,0,3,2,2,251.0
0,0,2,3,5,211.5
0,0,1,5,1,257.5
1,0,3,4,4,182.0
1,0,4,3,2,262.0
1,0,4,2,4,207.0
0,0,3,2,4,182.5
1,0,3,5,3,254.0
0,0,3,2,4,215.0
1,0,1,5,4,286.5
1,0,3,5,3,252.5
0,0,1,4,1,250.5
0,0,3,2,3,287.5
0,0,2,1,5,146.0
0,0,3,3,3,235.5
0,0,3,3,2,235.0
0,0,2,5,2,157.0
1,0,4,2,3,246.5
0,0,2,4,3,184.5
1,0,3,4,3,259.0
1,0,2,5,4,284.5
1,0,2,4,3,173.5
1,0,2,5,2,268.5
1,0,3,2,3,233.0
0,0,3,4,3,239.0
1,0,2,4,5,217.5
0,0,3,3,4,191.5
1,0,2,4,1,230.0
0,0,3,5,2,218.0
0,0,3,4,1,247.5
0,0,3,3,3,236.0
1,0,1,5,3,298.0
0,0,3,3,3,180.0
0,0,2,3,4,248.0
1,0,1,4,4,283.5
0,0,3,3,3,292.5
0,0,3,5,3,239.5
0,0,1,5,3,292.5
0,0,4,4,2,260.5
0,0,2,4,3,197.5
0,0,2,5,3,203.0
0,0,1,6,2,291.0
1,0,3,4,4,300.0
1,0,3,2,3,212.0
